ID,Catalog#,Artist,Artist2,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Collection Cost,Collection Autographed, Min , Median , Max ,Genre,Subgenre,Label1,Label2,Label3,Label4
33,SD 8283,Yes,Yes,The Yes Album,Atlantic,"LP, Album, RE, PR;",,1971,7116823.0,Vinyl,7/21/19 20:21,,,,5.5,,2.25,3.87,10.0,Rock,Progressive Rock,Atlantic,,,
165,RR 6583-1,Mastodon,Mastodon,Remission,Relapse Records,"2x12"", Album, RE, RM, RP",,2017,8863478.0,Vinyl,12/3/16 11:44,,,,15.0,,7.99,21.67,30.19,Metal,Sludge Metal,Relapse Records,,,
373,CS 8192,The Dave Brubeck Quartet,The Dave Brubeck Quartet,Time Out,Columbia,"LP, Album",,1961,2676016.0,Vinyl,5/5/14 21:16,,,,20.0,,5.07,26.5,130.0,Jazz,Jazz,Columbia,,,
142,SD 3-100,Yes,Yes,Yessongs,Atlantic,"3xLP, Album",5.0,1973,8179158.0,Vinyl,4/20/17 19:05,,,,5.0,,3.95,9.99,20.0,Rock,Progressive Rock,Atlantic,,,
18,SD 2-908,Yes,Yes,Tales From Topographic Oceans,Atlantic,"2xLP, Album, Gat",,1973,8535940.0,Vinyl,2/22/20 15:50,,,,5.5,,7.99,13.49,20.0,Rock,Progressive Rock,Atlantic,,,
340,SD 18122,Yes,Yes,Relayer,Atlantic,"LP, Album, Gat",,1974,755646.0,Vinyl,9/6/14 11:59,,,,4.0,,1.13,7.0,30.74,Rock,Progressive Rock,Atlantic,,,
374,SD 8245,King Crimson,King Crimson,In The Court Of The Crimson King  An Observation By King Crimson,Atlantic,"LP, Album, RE, PRC",,1975,4254321.0,Vinyl,5/5/14 21:14,,,,12.0,,10.0,17.0,25.0,Rock,Progressive Rock,Atlantic,,,
255,"34224, PZ 34224",Kansas (2),Kansas (2),Leftoverture,"Kirshner, Kirshner","LP, Album",3.0,1976,1476710.0,Vinyl,8/9/15 18:25,,,,0.86,,1.72,3.82,9.95,Rock,Classic Rock,Kirshner,Kirshner,,
341,SD 19132,Yes,Yes,Fragile,Atlantic,"LP, Album, RE, SRC",,1977,2637700.0,Vinyl,9/6/14 11:59,,,,4.0,,4.5,7.25,14.0,Rock,Progressive Rock,Atlantic,,,
19,AFL1-3516,Scorpions,Scorpions,Best Of Scorpions,RCA Victor,"LP, Comp",,1979,3632339.0,Vinyl,2/22/20 15:47,,,,2.0,,4.5,7.99,14.99,Metal,Heavy Metal,RCA Victor,,,
